,year,t2m,t2m_rolling,t2m_pct_change,state
0,1979,19.14821328149327,,,Nebraska
1,1980,21.349361411384905,,,Nebraska
2,1981,20.00629104945972,,,Nebraska
3,1982,19.250849300882123,,,Nebraska
4,1983,19.329575820591174,19.816858172762238,,Nebraska
5,1984,19.979168234009705,19.983049163265527,,Nebraska
6,1985,20.359413498035394,19.78505958059562,,Nebraska
7,1986,20.91530450737997,19.966862272179675,,Nebraska
8,1987,21.768355789737427,20.470363569950734,,Nebraska
9,1988,21.94613547117814,20.99367550006813,0.05938465709581542,Nebraska
10,1989,20.11360962356349,21.020563777978886,0.05191973488313306,Nebraska
11,1990,19.9057870035586,20.929838479083525,0.057860775896305894,Nebraska
12,1991,21.209372180441164,20.988652013695763,0.05117427703900046,Nebraska
13,1992,18.58119366687282,20.35121958912284,-0.005820315815142085,Nebraska
14,1993,18.90084980397984,19.742162455683182,-0.059613812949565914,Nebraska
15,1994,20.63496776801952,19.84643408457439,-0.05585624181186388,Nebraska
16,1995,18.52542938564136,19.57036256099094,-0.06495396127644237,Nebraska
17,1996,19.16573032987293,19.161634190877294,-0.08704788766931204,Nebraska
18,1997,19.646656207761964,19.374726699055124,-0.04798203300747761,Nebraska
19,1998,20.251988886404718,19.6449545155401,-0.004923874999068212,Nebraska
20,1999,20.077688485297642,19.533498658995722,-0.015767841429100704,Nebraska
21,2000,20.78274603028234,19.984961987923917,0.02118506622659022,Nebraska
22,2001,20.826836619169796,20.31718324578329,0.06030534991927494,Nebraska
23,2002,21.62394163435789,20.712640331102477,0.06905458088926753,Nebraska
24,2003,19.926380453247987,20.64751864447113,0.05103417919028286,Nebraska
25,2004,19.616901030056738,20.55536115342295,0.052313336810076994,Nebraska
26,2005,20.89389092542126,20.577590132450734,0.029653703864181313,Nebraska
27,2006,22.120285343778335,20.83627987737244,0.025549635759518186,Nebraska
28,2007,21.26925951363387,20.765343453227636,0.0025444907690508334,Nebraska
29,2008,19.89475122258284,20.75901760709461,0.005400114393568245,Nebraska
30,2009,19.401188620968185,20.7158751252769,0.007808861671458445,Nebraska
31,2010,20.286218579610193,20.594340656114685,0.0008140177521338554,Nebraska
32,2011,20.51782347361251,20.27384828208152,-0.026992898857233327,Nebraska
33,2012,23.49384456302812,20.71876529196037,-0.0022430720383788127,Nebraska
34,2013,20.51336572343024,20.84248819212985,0.004020931366555347,Nebraska
35,2014,19.739617297960365,20.910173927528284,0.009379222508167473,Nebraska
36,2015,19.987914699056887,20.850513151417623,0.012438975327276447,Nebraska
37,2016,21.094731073794208,20.965894671453963,0.03413492987338218,Nebraska
38,2017,21.28034758084067,20.523195275016473,-0.009439269869029543,Nebraska
39,2018,22.09374100781872,20.83927033189417,-0.00015438944746026806,Nebraska
40,2019,19.834112020851933,20.858169276472484,-0.0024870501429610226,Nebraska
41,2020,21.40747901529511,21.142082139720127,0.013983779976306288,Nebraska
42,2021,21.484575180385434,21.220050961038375,0.012122367948860235,Nebraska
43,2022,21.83967476167544,21.331916397205326,0.03940522473970387,Nebraska
44,2023,20.96223354892453,21.10561490542649,0.012780897281450487,Nebraska
0,1979,21.899019523288928,,,Kansas
1,1980,24.498190911018582,,,Kansas
2,1981,22.617455959912434,,,Kansas
3,1982,21.8340904851878,,,Kansas
4,1983,21.87197524676907,22.54414642523536,,Kansas
5,1984,22.766242026887824,22.717590925955143,,Kansas
6,1985,23.06548491926179,22.431049727603785,,Kansas
7,1986,23.55985118794888,22.619528773211073,,Kansas
8,1987,23.546875562332218,22.962085788639957,,Kansas
9,1988,23.72476513153771,23.332643765593684,0.034975701695926675,Kansas
10,1989,21.68124670182698,23.115644700581516,0.01752183037029642,Kansas
11,1990,22.742639523460753,23.051075621421308,0.027641412298886614,Kansas
12,1991,24.164555608461114,23.172016505523754,0.024425253852635942,Kansas
13,1992,20.96105818975542,22.654853031008393,-0.01338000216790236,Kansas
14,1993,22.14528353673336,22.338956712047526,-0.042587846603626134,Kansas
15,1994,23.039672308185345,22.6106418333192,-0.021846800026720126,Kansas
16,1995,20.795116742057075,22.221137277038462,-0.03600432179449298,Kansas
17,1996,22.977086994810918,21.983643554308422,-0.05128483103453885,Kansas
18,1997,21.77305542371289,22.14604300109992,-0.022459206829196887,Kansas
19,1998,23.972985476539293,22.511583389061105,0.007727606944172072,Kansas
20,1999,22.339158124903975,22.37148055240483,-0.010577376912934033,Kansas
21,2000,22.87223306659837,22.78690381731309,0.025460737370055497,Kansas
22,2001,23.76385009323343,22.94425643699759,0.04369670934283798,Kansas
23,2002,23.339328783244582,23.25751110890393,0.05018811296215797,Kansas
24,2003,22.600441967823997,22.98300240716087,0.02094117548074559,Kansas
25,2004,22.482486315741085,23.011668045328292,0.028616232681776932,Kansas
26,2005,23.302784662661338,23.097778364540886,0.013642684838630847,Kansas
27,2006,24.310932366349448,23.20719481916409,0.0114598781132218,Kansas
28,2007,22.833932542504726,23.10611557101612,-0.006509533078535301,Kansas
29,2008,23.16492553142291,23.2190122837359,0.010268887954408168,Kansas
30,2009,22.6502743928329,23.252569899154263,0.010468682815667485,Kansas
31,2010,23.65846125442789,23.323705217507573,0.009781323961161714,Kansas
32,2011,25.062352539441633,23.47398925212601,0.011496194824098582,Kansas
33,2012,26.233964696532723,24.153995682931612,0.045350769093786436,Kansas
34,2013,22.98293439655822,24.117597455958673,0.03870040470464797,Kansas
35,2014,22.57513411306695,24.102569400005486,0.036555077762916,Kansas
36,2015,23.14689356012127,24.00025586114416,0.029006996844084032,Kansas
37,2016,23.619465175968287,23.711678388449492,0.010125638798354375,Kansas
38,2017,23.41987683471939,23.148860816086824,-0.04161360629682753,Kansas
39,2018,25.406880958825695,23.633650128540317,-0.020066149967968294,Kansas
40,2019,22.485422874434903,23.615707880813908,-0.0201995692289747,Kansas
41,2020,23.665468924386175,23.71942295366689,-0.011701246399290821,Kansas
42,2021,22.88116721396119,23.57176336126547,-0.005900680031666439,Kansas
